Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
118,CA-2012-110457,2012-03-02,2012-03-06,Standard Class,DK-13090,Consumer,98103,FUR-TA-10001768,787.53,3,0,165.3813
127,US-2014-107272,2014-11-06,2014-11-13,Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2.388,2,0.7,-1.8308
128,US-2014-107272,2014-11-06,2014-11-13,Standard Class,TS-21610,Consumer,85023,OFF-ST-10002974,243.992,7,0.2,30.499
129,US-2013-125969,2013-11-07,2013-11-11,Second Class,LS-16975,Home Office,90004,FUR-CH-10001145,81.424,2,0.2,-9.1602
130,US-2013-125969,2013-11-07,2013-11-11,Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,238.56,3,0,26.2416
134,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001804,20.04,3,0,9.6192
135,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001736,35.44,1,0,16.6568
136,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-AR-10001149,11.52,4,0,3.456
137,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-FA-10002988,4.02,2,0,1.9698
138,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-BI-10004781,76.176,3,0.2,26.6616
139,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,65.88,6,0,18.4464
140,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885,Consumer,95661,FUR-FU-10001706,43.12,14,0,20.6976
142,CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,Corporate,94109,OFF-AR-10000940,8.82,3,0,2.3814
143,CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,Corporate,94109,OFF-EN-10004030,10.86,3,0,5.1042
144,CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975,Corporate,94109,OFF-PA-10004327,143.7,3,0,68.976
146,CA-2012-110744,2012-09-07,2012-09-12,Standard Class,HA-14920,Consumer,91104,OFF-ST-10003656,671.93,7,0,20.1579
152,CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025,Home Office,85254,OFF-AP-10000326,157.92,5,0.2,17.766
153,CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025,Home Office,85254,TEC-PH-10001254,203.184,2,0.2,15.2388
154,CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,Corporate,95123,OFF-PA-10001950,58.38,7,0,26.271
155,CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,Corporate,95123,OFF-PA-10002254,105.52,4,0,48.5392
156,CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650,Corporate,95123,OFF-ST-10001590,80.88,6,0,21.0288
157,CA-2012-118948,2012-05-28,2012-06-03,Standard Class,NK-18490,Home Office,98103,OFF-AR-10001547,6.63,3,0,1.7901
158,CA-2011-104269,2011-03-01,2011-03-06,Second Class,DB-13060,Consumer,98103,FUR-CH-10004063,457.568,2,0.2,51.4764
161,CA-2013-162733,2013-05-12,2013-05-13,First Class,TT-21070,Consumer,90004,OFF-PA-10002751,5.98,1,0,2.691
163,CA-2013-154508,2013-11-17,2013-11-21,Standard Class,RD-19900,Consumer,88220,OFF-EN-10001990,28.4,5,0,13.348
164,CA-2013-113817,2013-11-08,2013-11-12,Standard Class,MJ-17740,Consumer,98103,OFF-BI-10004002,27.68,2,0.2,9.688
172,CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,Consumer,90004,OFF-PA-10000658,20.94,3,0,9.8418
173,CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,Consumer,90004,OFF-PA-10001144,110.96,2,0,53.2608
174,CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130,Consumer,90004,FUR-CH-10003817,340.144,7,0.2,21.259
187,CA-2011-123260,2011-08-26,2011-08-30,Standard Class,FM-14290,Home Office,90004,TEC-AC-10002323,176.8,8,0,22.984
195,CA-2012-131457,2012-10-31,2012-11-06,Standard Class,MZ-17515,Corporate,92374,OFF-EN-10001509,14.28,7,0,6.7116
202,CA-2011-133690,2011-08-03,2011-08-05,First Class,BS-11755,Consumer,80219,FUR-TA-10004289,218.75,2,0.5,-161.875
203,CA-2011-133690,2011-08-03,2011-08-05,First Class,BS-11755,Consumer,80219,OFF-AP-10003622,2.6,1,0.2,0.2925
206,CA-2014-108329,2014-12-10,2014-12-15,Standard Class,LE-16810,Consumer,90604,TEC-PH-10001918,444.768,4,0.2,44.4768
218,CA-2013-130162,2013-10-29,2013-11-02,Standard Class,JH-15910,Consumer,90004,OFF-ST-10001328,93.06,6,0,26.0568
219,CA-2013-130162,2013-10-29,2013-11-02,Standard Class,JH-15910,Consumer,90004,TEC-PH-10002563,302.376,3,0.2,22.6782
237,CA-2014-160514,2014-11-13,2014-11-17,Standard Class,DB-13120,Corporate,95051,OFF-PA-10002479,10.56,2,0,4.752
250,CA-2013-154739,2013-12-11,2013-12-16,Second Class,LH-17155,Consumer,94109,FUR-CH-10002965,321.568,2,0.2,28.1372
251,CA-2013-145625,2013-09-12,2013-09-18,Standard Class,KC-16540,Consumer,92037,OFF-PA-10004569,7.61,1,0,3.5767
252,CA-2013-145625,2013-09-12,2013-09-18,Standard Class,KC-16540,Consumer,92037,TEC-AC-10003832,3347.37,13,0,636.0003
266,CA-2012-155040,2012-11-10,2012-11-15,Standard Class,AH-10210,Consumer,94513,TEC-AC-10004469,79.9,2,0,35.156
271,CA-2014-163979,2014-12-29,2015-01-03,Second Class,KH-16690,Corporate,94109,OFF-ST-10003208,725.84,4,0,210.4936
272,CA-2012-155334,2012-07-30,2012-07-31,First Class,HA-14920,Consumer,94109,TEC-AC-10003628,209.93,7,0,92.3692
273,CA-2012-155334,2012-07-30,2012-07-31,First Class,HA-14920,Consumer,94109,FUR-FU-10003274,5.28,3,0,2.3232
274,CA-2012-155334,2012-07-30,2012-07-31,First Class,HA-14920,Consumer,94109,OFF-BI-10002557,10.92,3,0.2,4.095
275,CA-2014-118136,2014-09-17,2014-09-18,First Class,BB-10990,Corporate,90301,OFF-PA-10002615,8.82,2,0,4.0572
276,CA-2014-118136,2014-09-17,2014-09-18,First Class,BB-10990,Corporate,90301,OFF-AR-10001427,5.98,1,0,1.5548
283,CA-2012-130890,2012-11-02,2012-11-06,Standard Class,JO-15280,Consumer,90004,FUR-TA-10002903,1038.84,5,0.2,51.942
284,CA-2012-130883,2012-09-26,2012-10-02,Standard Class,TB-21520,Consumer,97206,OFF-PA-10003127,141.76,5,0.2,47.844
285,CA-2012-130883,2012-09-26,2012-10-02,Standard Class,TB-21520,Consumer,97206,TEC-AC-10001956,239.8,5,0.2,47.96
286,CA-2012-130883,2012-09-26,2012-10-02,Standard Class,TB-21520,Consumer,97206,OFF-PA-10004100,31.104,6,0.2,10.8864
294,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555,Corporate,80906,FUR-FU-10004091,300.416,8,0.2,78.8592
295,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555,Corporate,80906,FUR-CH-10001891,230.352,3,0.2,20.1558
296,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555,Corporate,80906,FUR-FU-10002918,218.352,3,0.2,-24.5646
297,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555,Corporate,80906,OFF-BI-10004593,78.6,5,0.7,-62.88
298,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555,Corporate,80906,OFF-FA-10004854,27.552,3,0.2,9.2988
310,CA-2013-142902,2013-09-13,2013-09-15,Second Class,BP-11185,Corporate,80004,FUR-FU-10001918,15.136,4,0.2,3.5948
311,CA-2013-142902,2013-09-13,2013-09-15,Second Class,BP-11185,Corporate,80004,FUR-CH-10004086,466.768,2,0.2,52.5114
312,CA-2013-142902,2013-09-13,2013-09-15,Second Class,BP-11185,Corporate,80004,FUR-FU-10001756,15.232,1,0.2,1.7136
313,CA-2013-142902,2013-09-13,2013-09-15,Second Class,BP-11185,Corporate,80004,OFF-LA-10000634,6.264,3,0.2,2.0358
323,CA-2011-156601,2011-09-19,2011-09-24,Standard Class,FA-14230,Corporate,90805,OFF-FA-10000624,7.16,2,0,3.58
324,CA-2013-162138,2013-04-24,2013-04-28,Standard Class,GK-14620,Corporate,92345,OFF-BI-10004593,251.52,6,0.2,81.744
325,CA-2013-162138,2013-04-24,2013-04-28,Standard Class,GK-14620,Corporate,92345,TEC-AC-10001908,99.99,1,0,34.9965
335,CA-2012-137946,2012-09-01,2012-09-04,Second Class,DB-13615,Consumer,90004,OFF-BI-10001922,4.752,1,0.2,1.6038
336,CA-2012-137946,2012-09-01,2012-09-04,Second Class,DB-13615,Consumer,90004,TEC-CO-10001449,959.984,2,0.2,335.9944
337,CA-2012-137946,2012-09-01,2012-09-04,Second Class,DB-13615,Consumer,90004,OFF-BI-10004140,14.368,4,0.2,4.49
338,CA-2011-129924,2011-07-12,2011-07-17,Standard Class,AC-10420,Corporate,94109,OFF-BI-10003314,7.712,2,0.2,2.7956
339,CA-2011-129924,2011-07-12,2011-07-17,Standard Class,AC-10420,Corporate,94109,FUR-TA-10004575,698.352,3,0.2,-17.4588
340,CA-2012-128167,2012-06-22,2012-06-26,Second Class,KL-16645,Consumer,84041,OFF-FA-10000490,4.96,4,0,2.3312
346,CA-2014-169901,2014-06-16,2014-06-20,Standard Class,CC-12550,Consumer,94109,TEC-PH-10002293,47.976,3,0.2,4.7976
366,CA-2011-123344,2011-09-24,2011-09-29,Standard Class,JD-16060,Consumer,94109,OFF-ST-10001713,211.96,4,0,8.4784
373,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Consumer,85705,OFF-BI-10001982,8.16,5,0.7,-5.712
374,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Consumer,85705,TEC-AC-10003911,1023.936,8,0.2,179.1888
375,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Consumer,85705,OFF-AR-10000658,9.24,1,0.2,0.924
376,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900,Consumer,85705,TEC-AC-10002076,479.04,10,0.2,-29.94
382,CA-2013-134775,2013-10-29,2013-10-30,First Class,AS-10285,Corporate,94109,OFF-PA-10004734,50.96,7,0,25.48
383,CA-2013-134775,2013-10-29,2013-10-30,First Class,AS-10285,Corporate,94109,OFF-BI-10002225,49.536,3,0.2,17.3376
392,US-2011-135972,2011-09-21,2011-09-23,Second Class,JG-15115,Consumer,98198,TEC-PH-10003012,246.384,2,0.2,27.7182
393,US-2011-135972,2011-09-21,2011-09-23,Second Class,JG-15115,Consumer,98198,TEC-CO-10002313,1799.97,3,0,701.9883
395,CA-2014-102946,2014-07-01,2014-07-06,Standard Class,VP-21730,Home Office,89115,OFF-BI-10004492,75.792,3,0.2,25.5798
406,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,TEC-AC-10000158,179.95,5,0,37.7895
407,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,TEC-CO-10004115,1199.976,3,0.2,434.9913
408,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,OFF-PA-10003724,27.15,5,0,13.3035
409,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,FUR-TA-10002041,1004.024,7,0.2,-112.9527
410,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,OFF-PA-10002893,9.68,1,0,4.6464
411,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,OFF-LA-10003766,28.35,9,0,13.608
412,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,OFF-PA-10001971,55.98,1,0,27.4302
413,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,FUR-BO-10001972,1336.829,13,0.15,31.4548
414,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510,Consumer,94109,FUR-CH-10003956,113.568,2,0.2,-18.4548
415,CA-2014-142636,2014-11-04,2014-11-08,Standard Class,KC-16675,Corporate,98103,OFF-PA-10000157,139.86,7,0,65.7342
416,CA-2014-142636,2014-11-04,2014-11-08,Standard Class,KC-16675,Corporate,98103,FUR-CH-10001891,307.136,4,0.2,26.8744
417,CA-2014-122105,2014-06-25,2014-06-29,Standard Class,CJ-12010,Consumer,92646,OFF-AR-10004344,95.92,8,0,25.8984
418,CA-2013-148796,2013-04-15,2013-04-19,Standard Class,PB-19150,Consumer,90004,FUR-CH-10004886,383.8,5,0.2,38.38
420,CA-2014-110478,2014-03-05,2014-03-10,Standard Class,SP-20860,Corporate,90004,OFF-AR-10001573,9.32,4,0,2.7028
421,CA-2014-110478,2014-03-05,2014-03-10,Standard Class,SP-20860,Corporate,90004,OFF-EN-10000483,15.25,1,0,7.015
422,CA-2011-142048,2011-06-22,2011-06-25,First Class,JE-15745,Consumer,80027,TEC-AC-10004114,196.752,6,0.2,56.5662
457,US-2011-110674,2011-02-13,2011-02-19,Standard Class,SC-20095,Consumer,94521,FUR-CH-10000225,129.568,2,0.2,-24.294
460,CA-2012-109638,2012-12-15,2012-12-22,Standard Class,JH-15985,Consumer,98103,OFF-AP-10002472,103.92,4,0,36.372
461,CA-2012-109638,2012-12-15,2012-12-22,Standard Class,JH-15985,Consumer,98103,TEC-AC-10004571,899.91,9,0,377.9622
462,CA-2012-109638,2012-12-15,2012-12-22,Standard Class,JH-15985,Consumer,98103,OFF-BI-10001098,51.312,3,0.2,18.6006
463,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040,Home Office,85023,FUR-FU-10000023,23.56,5,0.2,7.068
464,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040,Home Office,85023,FUR-TA-10001889,1272.63,6,0.5,-814.4832
465,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040,Home Office,85023,OFF-BI-10000315,28.485,5,0.7,-20.889
466,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040,Home Office,85023,OFF-SU-10003505,185.376,2,0.2,-34.758
467,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040,Home Office,85023,OFF-AP-10002578,78.272,2,0.2,5.8704
472,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,OFF-ST-10002743,340.92,3,0,3.4092
473,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,FUR-BO-10001601,222.666,2,0.15,10.4784
474,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,TEC-PH-10002680,703.968,4,0.2,87.996
475,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,OFF-ST-10001321,92.52,6,0,24.9804
476,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,OFF-PA-10001509,62.65,7,0,28.819
477,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520,Consumer,94109,OFF-PA-10003465,94.85,5,0,45.528
478,CA-2013-103891,2013-07-13,2013-07-20,Standard Class,KH-16690,Corporate,90004,TEC-PH-10000149,95.76,6,0.2,7.182
482,CA-2011-134677,2011-10-06,2011-10-10,Standard Class,XP-21865,Consumer,92037,TEC-AC-10001445,9.09,3,0,1.9089
485,CA-2014-140963,2014-06-11,2014-06-14,First Class,MT-18070,Home Office,90004,OFF-LA-10003923,29.6,2,0,14.8
486,CA-2014-140963,2014-06-11,2014-06-14,First Class,MT-18070,Home Office,90004,FUR-BO-10001337,514.165,5,0.15,-30.245
487,CA-2014-140963,2014-06-11,2014-06-14,First Class,MT-18070,Home Office,90004,TEC-PH-10001924,279.96,5,0.2,17.4975
494,CA-2013-169166,2013-05-10,2013-05-15,Standard Class,SS-20590,Consumer,98103,TEC-AC-10000991,93.98,2,0,13.1572
497,CA-2013-126158,2013-07-26,2013-08-01,Standard Class,SC-20095,Consumer,92627,OFF-BI-10002498,119.616,8,0.2,40.3704
498,CA-2013-126158,2013-07-26,2013-08-01,Standard Class,SC-20095,Consumer,92627,FUR-FU-10004864,255.76,4,0,81.8432
499,CA-2013-126158,2013-07-26,2013-08-01,Standard Class,SC-20095,Consumer,92627,FUR-CH-10002602,241.568,2,0.2,18.1176
500,CA-2013-126158,2013-07-26,2013-08-01,Standard Class,SC-20095,Consumer,92627,FUR-FU-10000073,69.3,9,0,22.869
501,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380,Corporate,80134,OFF-BI-10001670,22.62,2,0.7,-15.08
502,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380,Corporate,80134,OFF-BI-10001658,14.952,2,0.7,-11.9616
503,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380,Corporate,80134,FUR-CH-10001215,801.568,2,0.2,50.098
504,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380,Corporate,80134,OFF-BI-10000831,2.376,3,0.7,-1.9008
505,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380,Corporate,80134,OFF-PA-10000356,32.792,1,0.2,11.8871
514,CA-2014-163405,2014-12-22,2014-12-26,Standard Class,BN-11515,Consumer,90004,OFF-AR-10003811,6.63,3,0,1.7901
515,CA-2014-163405,2014-12-22,2014-12-26,Standard Class,BN-11515,Consumer,90004,OFF-AR-10001246,5.88,2,0,1.7052
516,CA-2014-127432,2014-01-23,2014-01-28,Standard Class,AD-10180,Home Office,59405,TEC-CO-10003236,2999.95,5,0,1379.977
517,CA-2014-127432,2014-01-23,2014-01-28,Standard Class,AD-10180,Home Office,59405,OFF-ST-10004507,51.45,3,0,13.8915
518,CA-2014-127432,2014-01-23,2014-01-28,Standard Class,AD-10180,Home Office,59405,OFF-PA-10001667,11.96,2,0,5.382
519,CA-2014-127432,2014-01-23,2014-01-28,Standard Class,AD-10180,Home Office,59405,OFF-ST-10004459,1126.02,3,0,56.301
524,US-2013-139486,2013-05-22,2013-05-24,First Class,LH-17155,Consumer,90004,TEC-PH-10003555,55.176,3,0.2,-12.4146
525,US-2013-139486,2013-05-22,2013-05-24,First Class,LH-17155,Consumer,90004,TEC-AC-10003831,66.26,2,0,27.1666
532,CA-2012-102848,2012-11-07,2012-11-09,Second Class,KB-16240,Corporate,90004,FUR-CH-10000595,190.72,1,0.2,11.92
533,US-2014-129441,2014-09-08,2014-09-12,Standard Class,JC-15340,Consumer,90004,FUR-FU-10000448,47.94,3,0,2.397
536,CA-2013-126613,2013-07-11,2013-07-17,Standard Class,AA-10375,Consumer,85204,OFF-ST-10001325,16.768,2,0.2,1.4672
542,CA-2013-136924,2013-07-15,2013-07-18,First Class,ES-14080,Corporate,85705,TEC-PH-10002262,380.864,8,0.2,38.0864
552,CA-2013-136406,2013-04-16,2013-04-18,Second Class,BD-11320,Consumer,94109,FUR-CH-10002024,1121.568,2,0.2,0
555,CA-2014-100650,2014-06-30,2014-07-04,Second Class,DK-13225,Corporate,92804,OFF-ST-10001780,1295.78,2,0,310.9872
557,CA-2013-113243,2013-06-11,2013-06-16,Standard Class,OT-18730,Consumer,90004,OFF-LA-10001297,20.7,2,0,9.936
558,CA-2013-113243,2013-06-11,2013-06-16,Standard Class,OT-18730,Consumer,90004,FUR-TA-10004256,1335.68,4,0.2,-217.048
559,CA-2013-113243,2013-06-11,2013-06-16,Standard Class,OT-18730,Consumer,90004,OFF-PA-10003441,32.4,5,0,15.552
560,CA-2014-118731,2014-11-21,2014-11-23,Second Class,LP-17080,Consumer,94109,FUR-FU-10003347,42.6,3,0,16.614
561,CA-2014-118731,2014-11-21,2014-11-23,Second Class,LP-17080,Consumer,94109,OFF-BI-10000069,84.056,7,0.2,27.3182
564,CA-2012-130736,2012-12-07,2012-12-09,First Class,JF-15490,Consumer,98103,OFF-FA-10003467,3.96,2,0,0
565,CA-2012-130736,2012-12-07,2012-12-09,First Class,JF-15490,Consumer,98103,OFF-LA-10000634,2.61,1,0,1.2006
566,CA-2014-137099,2014-12-08,2014-12-11,First Class,FP-14320,Consumer,90004,TEC-PH-10002496,374.376,3,0.2,46.797
567,CA-2014-156951,2014-10-02,2014-10-09,Standard Class,EB-13840,Corporate,98103,OFF-PA-10004530,91.84,8,0,45.0016
568,CA-2014-156951,2014-10-02,2014-10-09,Standard Class,EB-13840,Corporate,98103,OFF-BI-10001107,81.088,7,0.2,27.3672
569,CA-2014-156951,2014-10-02,2014-10-09,Standard Class,EB-13840,Corporate,98103,OFF-PA-10004451,19.44,3,0,9.3312
570,CA-2014-156951,2014-10-02,2014-10-09,Standard Class,EB-13840,Corporate,98103,FUR-CH-10004997,451.152,3,0.2,0
575,CA-2013-127250,2013-11-04,2013-11-08,Standard Class,SF-20200,Consumer,98270,OFF-AR-10003394,8.82,3,0,2.3814
576,CA-2012-149713,2012-09-18,2012-09-22,Second Class,TG-21640,Consumer,90805,OFF-PA-10004530,160.72,14,0,78.7528
577,CA-2012-149713,2012-09-18,2012-09-22,Second Class,TG-21640,Consumer,90805,OFF-PA-10001450,19.92,4,0,9.7608
578,CA-2012-149713,2012-09-18,2012-09-22,Second Class,TG-21640,Consumer,90805,OFF-SU-10001574,7.3,2,0,2.19
581,CA-2012-132906,2012-09-10,2012-09-14,Standard Class,CC-12145,Consumer,90004,OFF-SU-10004498,51.52,4,0,1.5456
582,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465,Consumer,80219,TEC-PH-10004977,470.376,3,0.2,52.9173
583,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465,Consumer,80219,TEC-PH-10000586,105.584,2,0.2,9.2386
584,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465,Consumer,80219,OFF-AP-10000358,31.152,3,0.2,3.5046
585,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465,Consumer,80219,OFF-BI-10002764,6.783,7,0.7,-4.7481
586,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465,Consumer,80219,TEC-PH-10001254,406.368,4,0.2,30.4776
589,US-2013-156986,2013-03-21,2013-03-25,Standard Class,ZC-21910,Consumer,97301,TEC-PH-10003800,84.784,2,0.2,-20.1362
590,US-2013-156986,2013-03-21,2013-03-25,Standard Class,ZC-21910,Consumer,97301,OFF-PA-10002005,20.736,4,0.2,7.2576
591,US-2013-156986,2013-03-21,2013-03-25,Standard Class,ZC-21910,Consumer,97301,OFF-BI-10002498,16.821,3,0.7,-12.8961
592,US-2013-156986,2013-03-21,2013-03-25,Standard Class,ZC-21910,Consumer,97301,OFF-PA-10004101,10.368,2,0.2,3.6288
595,CA-2011-131450,2011-08-08,2011-08-15,Standard Class,LR-16915,Consumer,92037,OFF-AP-10004708,76.12,2,0,22.0748
