Postal Code,Country,Region,State,City
95240,United States,West,California,Lodi
95336,United States,West,California,Manteca
95351,United States,West,California,Modesto
95610,United States,West,California,Citrus Heights
95616,United States,West,California,Davis
95661,United States,West,California,Roseville
95687,United States,West,California,Vacaville
95695,United States,West,California,Woodland
95823,United States,West,California,Sacramento
95928,United States,West,California,Chico
96003,United States,West,California,Redding
97030,United States,West,Oregon,Gresham
97123,United States,West,Oregon,Hillsboro
97206,United States,West,Oregon,Portland
97224,United States,West,Oregon,Tigard
97301,United States,West,Oregon,Salem
97405,United States,West,Oregon,Eugene
97477,United States,West,Oregon,Springfield
97504,United States,West,Oregon,Medford
97756,United States,West,Oregon,Redmond
98002,United States,West,Washington,Auburn
98006,United States,West,Washington,Bellevue
98026,United States,West,Washington,Edmonds
98031,United States,West,Washington,Kent
98042,United States,West,Washington,Covington
98052,United States,West,Washington,Redmond
98059,United States,West,Washington,Renton
98103,United States,West,Washington,Seattle
98198,United States,West,Washington,Des Moines
98208,United States,West,Washington,Everett
98226,United States,West,Washington,Bellingham
98270,United States,West,Washington,Marysville
98502,United States,West,Washington,Olympia
98632,United States,West,Washington,Longview
98661,United States,West,Washington,Vancouver
99207,United States,West,Washington,Spokane
99301,United States,West,Washington,Pasco
